id,A5,A6,A7,A8,A9,A10,A11,A12,A14,A15,A16,A17,A19,A20,A21,A22,A24,A25,A26,A27,A28,B1,B4,B5,B6,B7,B8,B9,B10,B11,B12,B14,target
sample_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
sample_100,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0.902
sample_1000,2,2,0,0,2,0,2,1,2,1,2,0,1,0,1,1,2,0,2,0,0,1,1,2,2,2,1,0,0,0,0,0,0.902
sample_1002,3,3,0,0,3,0,3,1,3,2,3,1,1,0,1,0,3,0,3,0,0,2,0,3,0,3,2,0,1,0,0,1,0.878
sample_1004,4,4,0,0,4,0,4,2,4,1,4,0,1,0,1,0,4,0,4,0,0,1,1,4,0,4,0,0,0,0,0,0,0.902
sample_1005,5,3,0,0,5,0,5,1,5,1,5,0,1,0,0,0,5,0,5,0,0,2,0,5,0,5,0,0,0,0,0,0,0.902
sample_1006,6,5,0,0,6,0,6,1,6,1,6,0,1,0,1,0,6,0,6,0,0,3,0,6,0,6,0,0,0,0,0,0,0.902
sample_1007,7,5,0,0,7,0,7,2,7,1,7,0,1,0,1,1,7,0,7,2,0,1,1,7,2,7,1,0,0,0,0,0,0.913
sample_1008,8,3,0,0,8,0,8,1,8,1,8,2,1,0,1,0,8,0,8,0,0,1,0,8,0,8,0,0,2,0,0,0,0.902
sample_1009,4,4,0,0,0,0,0,1,0,2,0,0,1,0,0,0,9,0,9,0,1,1,0,4,0,4,3,0,0,0,0,0,0.902
sample_101,9,1,0,0,9,1,9,2,9,1,9,3,1,1,1,0,10,2,10,3,0,4,1,9,3,9,1,0,0,1,1,0,0.913
sample_1010,10,5,0,0,10,0,10,2,10,1,10,3,1,0,1,1,11,0,11,2,2,1,0,10,0,10,0,1,0,0,0,0,0.891
sample_1011,11,6,0,0,11,0,11,1,11,0,11,2,1,1,1,1,12,0,12,4,0,1,1,11,2,11,1,0,0,0,0,0,0.902
sample_1012,7,3,0,0,12,0,12,2,12,1,12,0,1,0,1,0,13,0,13,0,0,1,0,12,0,12,0,0,0,0,0,0,0.913
sample_1013,8,7,0,0,13,0,13,1,13,0,13,1,1,0,1,1,14,0,1,4,0,2,1,2,0,10,4,0,0,0,0,0,0.891
sample_1016,12,3,0,0,14,0,14,2,14,1,14,0,1,0,1,0,15,0,14,0,0,5,0,11,0,6,0,0,1,0,0,0,0.902
sample_1017,7,8,0,0,7,0,7,2,7,1,7,0,1,0,0,0,16,0,7,0,0,4,0,13,0,13,5,2,0,0,0,0,0.902
sample_1018,8,9,0,0,13,0,13,2,13,2,13,2,1,0,1,1,14,0,1,2,0,2,0,2,0,10,0,0,0,0,0,0,0.902
sample_102,7,2,0,0,15,1,15,0,15,3,15,3,1,1,1,0,13,1,3,1,0,6,1,14,1,13,1,3,0,1,1,2,0.942
sample_1020,2,3,0,0,8,0,5,2,5,0,5,0,1,0,1,1,17,0,2,4,2,2,0,1,0,10,5,0,0,0,0,0,0.902
sample_1021,6,5,0,0,11,0,11,3,11,1,11,1,1,0,1,1,12,0,12,4,0,2,0,15,2,14,5,0,0,0,0,0,0.891
sample_1023,13,3,0,0,16,0,16,2,16,0,16,0,1,0,1,0,18,0,15,0,0,1,0,16,0,15,6,0,3,0,0,0,0.902
sample_1025,14,5,0,0,17,0,17,1,17,1,17,1,1,0,1,1,12,0,12,4,0,1,1,15,2,16,1,0,0,0,0,0,0.902
sample_1026,15,3,0,0,18,0,18,2,18,1,18,0,1,0,1,0,19,0,16,0,0,3,1,17,4,17,6,0,0,0,0,0,0.902
sample_1027,13,6,0,0,16,0,16,0,16,0,19,0,1,0,1,0,18,0,15,5,0,1,0,18,2,10,0,2,0,0,0,0,0.891
sample_1029,16,6,0,0,19,0,19,2,19,1,20,0,1,0,1,0,5,0,5,0,0,1,1,1,2,10,1,0,0,0,0,0,0.902
sample_103,1,1,0,0,1,2,1,0,1,0,1,0,1,1,1,0,1,3,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0.902
sample_1030,17,3,0,0,6,0,6,2,6,0,6,0,1,0,1,0,20,0,17,0,0,2,1,19,2,18,1,0,0,0,0,0,0.902
sample_1031,15,9,0,0,18,0,18,2,18,0,18,0,1,0,2,0,19,0,16,0,0,2,1,5,2,19,0,0,0,0,0,0,0.902
sample_1032,18,6,0,0,16,0,16,2,16,1,16,0,1,0,1,1,18,0,15,4,0,2,0,20,0,10,4,0,2,0,0,0,0.891
sample_1034,19,3,0,0,20,0,20,2,20,0,21,0,1,0,0,0,18,0,15,0,0,2,0,20,2,10,1,0,0,0,0,0,0.947
sample_1036,7,6,0,0,12,0,12,2,12,0,12,2,1,0,1,1,13,0,13,4,0,1,1,7,2,7,1,0,0,0,0,0,0.902
sample_1037,18,3,0,0,16,0,16,2,16,0,16,0,1,0,1,0,18,0,15,0,0,2,0,8,2,20,1,0,0,0,0,0,0.902
sample_1038,4,3,0,0,4,0,4,2,4,1,4,0,1,0,3,1,4,0,4,0,0,1,1,4,0,21,0,0,0,0,0,0,0.902
sample_104,9,1,0,0,9,2,9,0,9,0,9,0,1,1,1,0,10,2,10,3,0,0,1,9,1,22,1,0,0,1,1,0,0.902
sample_1041,20,3,0,0,21,0,21,2,21,1,22,2,0,0,2,0,11,0,11,4,3,7,0,10,2,19,1,4,4,0,2,3,0.879
sample_1042,13,10,0,0,16,0,16,2,16,1,16,0,0,0,2,0,14,0,1,6,0,8,0,16,2,23,1,4,4,0,2,4,0.947
sample_1044,21,7,0,0,22,0,22,3,22,2,23,4,0,0,2,0,21,0,18,0,0,8,1,1,2,10,1,4,4,0,2,3,0.879
sample_1046,22,11,0,0,23,0,23,1,23,1,24,0,0,0,4,0,22,0,19,0,4,9,2,17,2,9,6,4,4,0,2,5,0.92
sample_1047,12,3,0,0,14,0,14,1,14,0,14,2,0,0,2,1,15,0,14,0,0,10,0,21,2,24,1,4,4,0,2,6,0.947
sample_1048,23,12,0,0,24,0,24,1,24,2,25,0,0,0,2,0,23,0,20,0,0,10,1,22,2,25,1,4,4,0,2,5,0.92
sample_1049,3,3,0,0,25,0,25,2,25,0,26,0,0,0,2,0,24,0,21,0,0,10,1,17,2,10,6,0,1,0,0,5,0.92
sample_105,3,1,0,0,22,1,22,0,22,0,23,0,1,1,1,0,24,1,18,3,0,0,1,23,1,12,1,0,0,1,1,2,0.923
sample_1052,24,12,0,0,2,0,2,1,2,1,2,1,0,0,1,0,2,0,22,0,0,11,1,20,2,26,1,5,0,0,0,0,0.902
sample_1053,11,3,0,0,26,0,26,2,26,1,27,0,0,0,1,0,25,0,23,0,0,11,1,24,2,13,6,0,1,0,0,0,0.902
sample_1054,7,13,0,0,12,0,12,2,12,0,12,0,0,0,1,0,13,0,13,0,0,11,0,25,2,25,7,4,0,0,0,2,0.947
sample_1055,12,3,0,0,14,0,14,2,14,0,14,0,0,0,1,0,15,0,14,0,0,12,0,24,2,4,6,0,1,0,0,2,0.947
sample_1056,25,14,0,0,7,0,7,1,7,2,7,0,0,0,1,0,7,0,7,0,0,12,0,26,2,10,6,0,0,0,0,2,0.935
sample_1058,0,12,0,0,0,0,0,2,0,0,0,0,0,0,1,0,9,0,9,0,0,0,0,27,2,27,1,0,0,0,0,2,0.947
sample_106,8,2,0,0,27,0,27,2,27,0,28,3,1,1,1,0,8,1,24,1,0,0,1,18,5,26,1,0,0,1,1,0,0.902
sample_1060,17,15,0,0,6,0,6,1,6,1,6,0,0,0,1,0,20,0,17,0,0,13,0,28,2,6,6,4,2,0,0,2,0.942
sample_1061,15,12,0,0,18,0,18,1,18,1,18,1,0,0,1,1,19,0,16,0,0,13,1,29,2,3,1,0,0,0,0,2,0.947
sample_1062,2,14,0,0,5,0,5,2,5,0,5,1,0,0,1,0,26,0,25,0,0,12,1,6,2,28,1,0,0,0,0,2,0.947
sample_1063,26,3,0,0,28,0,28,0,28,0,29,0,0,0,1,0,27,0,26,0,0,14,0,12,2,7,1,0,0,0,0,2,0.947
sample_1065,27,3,0,0,27,0,27,1,27,2,28,4,0,0,1,1,6,0,6,0,0,13,1,28,2,6,1,0,0,0,0,2,0.935
sample_1066,28,3,0,0,29,0,29,2,29,0,30,0,0,0,1,0,22,0,19,0,0,13,1,29,2,10,1,0,0,0,0,2,0.923
sample_1067,10,3,0,0,30,0,30,2,30,0,31,0,0,0,1,0,28,0,27,0,0,13,0,30,2,11,1,0,0,0,0,2,0.935
sample_1068,26,12,0,0,31,0,28,1,28,2,29,5,0,0,1,1,27,0,28,0,0,14,0,3,2,13,1,0,0,0,0,2,0.923
sample_1069,29,3,0,0,15,0,15,2,15,0,15,0,0,0,1,0,3,0,3,0,1,12,0,14,2,29,1,0,0,0,0,2,0.947
sample_107,26,1,0,0,0,0,0,2,0,1,0,0,1,1,1,0,27,3,9,1,0,0,1,31,1,30,1,0,0,1,1,0,0.902
sample_1072,15,12,0,0,18,0,18,3,18,4,18,1,0,0,1,1,19,0,16,0,0,13,1,17,2,7,1,0,0,0,0,2,0.888
sample_1073,30,12,0,0,32,0,31,2,31,0,32,2,0,0,1,0,11,0,11,0,2,12,0,32,2,15,1,0,0,0,0,2,0.912
sample_1074,31,3,0,0,33,0,32,2,32,0,33,0,0,0,1,0,23,0,20,0,0,13,0,4,2,29,6,0,0,0,0,2,0.935
sample_1076,8,12,0,0,8,0,8,2,8,2,8,4,0,0,1,1,29,0,29,0,0,13,0,11,2,30,1,0,0,0,0,2,0.947
sample_1078,2,3,0,0,5,0,5,2,5,1,5,6,0,0,1,0,17,0,2,0,0,14,0,8,2,15,1,0,0,0,0,0,0.902
sample_1079,17,16,0,0,6,0,6,1,6,1,6,0,0,0,1,1,30,0,30,0,0,14,0,4,2,31,1,0,0,0,0,0,0.902
sample_1080,15,7,0,0,18,0,18,2,18,0,18,2,0,0,1,1,19,0,16,0,0,14,1,1,2,10,1,0,0,0,0,0,0.874
sample_1081,8,3,0,0,8,0,8,2,8,0,8,0,0,0,1,0,31,0,31,0,0,2,1,9,2,30,1,0,0,0,0,0,0.902
sample_1082,15,16,0,0,18,0,18,1,18,1,18,0,0,0,1,0,19,0,16,0,0,13,0,17,2,0,6,0,0,0,0,0,0.902
sample_1083,2,15,0,0,5,0,5,2,5,1,5,4,0,0,1,1,17,0,2,0,0,13,0,16,2,8,1,0,0,0,0,0,0.891
sample_1085,7,3,0,0,12,0,12,2,12,1,12,0,0,0,1,0,3,0,3,0,0,14,1,2,2,32,1,0,0,0,0,0,0.879
sample_1086,8,14,0,0,8,0,8,1,8,1,8,0,0,0,1,0,29,0,29,0,0,13,0,15,2,6,1,0,0,0,0,0,0.891
sample_1087,23,14,0,0,24,0,24,1,24,2,25,4,0,0,1,0,23,0,20,0,0,13,0,7,2,3,1,0,0,0,0,0,0.902
sample_1089,9,3,0,0,34,0,33,2,33,0,34,0,0,0,1,0,10,0,32,0,0,12,0,33,2,31,6,0,0,0,0,2,0.935
sample_1090,32,14,0,0,35,0,34,1,34,1,35,0,0,0,1,0,32,0,33,0,0,13,0,2,2,10,1,0,0,0,0,2,0.935
sample_1091,18,7,0,0,16,0,16,0,16,3,16,2,0,0,1,1,31,0,31,0,0,14,0,6,2,30,1,0,0,0,0,2,0.935
sample_1093,16,3,0,0,19,0,19,2,19,0,20,0,0,0,1,0,11,0,11,0,0,13,0,8,2,15,1,0,0,0,0,7,0.98
sample_1095,7,7,0,0,12,0,12,2,12,2,12,2,0,0,1,1,13,0,13,0,0,13,0,2,2,10,1,0,0,0,0,2,0.935
sample_1096,33,3,0,0,13,0,13,2,13,1,13,2,0,0,1,0,31,0,31,0,0,13,0,31,2,6,6,0,0,0,0,7,0.967
sample_1097,34,3,0,0,36,0,35,1,35,1,36,0,0,0,1,0,33,0,34,0,0,13,0,17,2,9,1,0,0,0,0,7,0.967
sample_1099,14,12,0,0,37,0,36,1,36,1,37,2,0,0,1,1,34,0,35,0,0,13,1,4,2,31,1,0,0,0,0,2,0.923
sample_11,26,4,0,0,31,0,28,2,28,2,29,4,0,0,0,1,16,0,26,0,0,15,1,34,0,33,0,0,0,0,0,2,0.923
sample_110,26,1,0,0,0,1,0,0,0,3,0,7,1,1,1,0,27,2,9,3,0,0,1,31,3,30,1,0,0,2,1,0,0.902
sample_1101,35,14,0,0,38,0,37,1,37,4,38,1,0,0,1,0,29,0,29,0,0,13,0,19,2,16,6,0,0,0,0,7,0.967
sample_1102,36,14,0,0,28,0,38,2,38,0,39,2,0,0,1,1,35,0,36,0,0,13,0,17,2,7,1,0,0,0,0,7,0.961
sample_1103,37,1,0,0,39,1,39,0,39,0,40,0,1,1,1,0,36,1,19,1,0,0,1,35,1,4,1,0,0,1,1,0,0.902
sample_1105,17,1,0,0,11,2,38,0,11,0,11,0,1,1,1,0,20,3,12,1,0,11,1,8,1,8,1,0,0,1,1,2,0.959
sample_1106,34,1,0,0,40,1,40,0,40,0,41,0,1,1,1,0,4,1,37,1,0,0,1,22,1,6,1,0,0,1,1,0,0.902
sample_1107,20,1,0,0,10,1,10,2,10,1,10,2,1,1,1,0,11,3,38,1,0,0,1,10,1,9,1,0,0,3,1,0,0.925
sample_1108,17,1,0,0,11,2,11,0,11,0,11,0,1,1,1,0,20,1,12,1,0,0,1,8,1,8,1,0,0,1,1,2,0.971
sample_111,3,2,0,0,22,0,22,0,22,3,23,3,1,1,1,0,24,1,18,1,0,0,1,23,1,12,1,0,0,1,1,2,0.959
sample_1112,37,1,0,0,39,1,39,0,39,0,40,0,1,1,1,0,36,1,0,1,0,0,1,35,1,34,1,0,0,1,1,0,0.902
sample_1113,20,1,0,0,10,2,10,0,10,0,10,0,1,1,1,0,11,3,38,1,0,0,1,10,1,9,1,0,0,1,1,0,0.913
sample_1114,17,1,0,0,11,2,11,0,11,0,11,0,1,1,1,0,20,4,12,2,0,0,1,8,1,8,1,0,0,1,1,2,0.947
sample_1115,37,1,0,0,39,1,39,0,39,0,40,0,1,1,1,0,36,1,0,1,0,0,1,35,1,34,1,0,0,1,1,0,0.902
sample_1117,17,1,0,0,11,2,11,0,11,0,11,0,1,1,1,0,20,1,12,1,0,0,1,8,1,8,8,2,0,1,1,2,0.959
sample_1118,37,1,0,0,39,1,39,0,39,0,40,0,1,1,1,0,36,1,0,1,0,0,1,35,1,34,1,0,0,1,1,0,0.902
sample_1119,20,1,0,0,10,2,10,0,10,0,10,0,1,1,1,0,11,1,38,1,0,0,1,10,1,9,1,0,0,1,1,0,0.902
sample_112,8,1,0,0,27,2,27,0,27,0,28,0,1,1,1,0,8,1,24,1,0,0,1,18,1,26,1,0,0,1,1,0,0.891
sample_1120,17,1,0,0,11,2,11,0,11,0,11,0,1,1,1,0,20,2,12,1,0,0,1,8,1,8,1,0,0,1,1,2,0.947
sample_1121,34,1,0,0,41,1,41,0,41,0,42,0,1,1,1,0,35,1,34,1,0,0,1,36,1,6,1,0,0,1,1,0,0.902
sample_1124,34,1,0,0,41,2,41,0,41,0,42,0,1,1,1,0,35,2,34,1,0,0,3,36,1,6,1,0,0,1,1,0,0.902
sample_1129,17,1,0,0,11,1,11,0,11,0,11,0,1,1,1,0,20,1,12,1,0,0,1,8,1,8,1,0,0,1,1,0,0.947
sample_113,26,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,27,1,9,1,0,0,1,31,1,30,1,0,0,1,1,0,0.902
sample_1130,34,1,0,0,41,2,41,0,41,0,42,0,1,1,1,0,35,3,34,1,0,0,1,36,1,6,1,0,0,1,1,0,0.902
sample_1131,20,1,0,0,10,1,10,0,10,0,10,0,1,1,1,0,11,1,38,1,0,4,1,10,1,9,1,0,0,3,1,0,0.913
sample_1132,17,1,0,0,11,1,11,0,11,0,11,0,1,1,1,0,20,1,12,1,0,0,1,8,1,8,1,0,0,1,1,0,0.947
sample_1134,20,1,0,0,10,1,10,0,10,0,10,0,1,1,1,0,11,1,38,1,0,0,1,10,1,9,1,0,0,1,1,0,0.913
sample_1135,17,1,0,0,11,1,11,0,11,0,11,0,1,1,1,0,20,1,12,1,0,0,1,8,1,8,1,0,0,1,1,2,0.947
sample_1136,34,1,0,0,41,2,41,4,41,0,42,0,1,1,1,0,35,3,34,1,0,0,1,36,1,6,1,0,0,1,1,0,0.913
sample_1137,20,1,0,0,10,1,10,0,10,0,10,0,1,1,1,0,11,1,38,1,0,0,1,10,1,9,1,0,0,1,1,0,0.902
sample_1139,34,1,0,0,41,2,41,0,41,0,42,0,1,1,1,0,35,2,34,1,0,0,1,36,1,6,1,0,0,1,1,0,0.913
sample_1140,20,1,0,0,10,1,10,0,10,0,10,0,1,1,1,0,11,1,38,1,0,0,1,10,1,9,1,0,0,1,1,0,0.902
sample_1142,34,1,0,0,41,2,41,0,41,0,42,0,1,1,1,0,35,2,34,1,0,0,1,36,1,6,1,0,0,1,1,0,0.902
sample_1143,20,1,0,0,10,2,10,0,10,0,10,0,1,1,1,0,11,3,38,1,0,0,1,10,1,9,1,0,0,1,1,0,0.902
sample_1144,17,1,0,0,11,2,11,0,11,0,11,0,1,1,1,0,20,3,12,1,0,0,1,8,1,15,1,0,0,1,1,2,0.957
sample_1145,34,1,0,0,41,1,41,0,41,0,42,0,1,1,1,0,35,1,34,1,0,0,1,36,1,6,1,0,0,1,1,0,0.902
sample_1147,17,1,0,0,11,2,11,0,11,0,11,0,1,1,1,0,20,3,12,1,0,0,1,8,1,15,1,0,0,1,1,2,0.947
sample_1148,34,1,0,0,41,1,41,0,41,0,42,0,1,1,1,0,35,1,19,1,0,0,1,37,1,31,1,0,2,1,1,0,0.902
sample_115,8,1,0,0,27,0,27,0,27,0,28,3,1,1,1,0,8,1,24,3,0,0,1,18,3,26,1,0,0,1,1,0,0.902
sample_1150,17,1,0,0,11,2,11,0,11,0,11,0,1,1,1,0,20,3,12,1,0,0,1,8,1,8,1,0,0,1,1,2,0.959
sample_1151,34,1,0,0,41,1,41,0,41,0,42,0,1,1,1,0,35,1,34,1,0,0,1,36,1,6,1,0,0,1,1,0,0.902
sample_1153,17,1,0,0,11,2,11,0,11,0,11,0,1,1,1,0,20,3,12,1,0,0,1,8,1,8,1,2,2,1,1,2,0.947
sample_1154,34,1,0,0,41,1,41,0,41,0,42,0,1,1,1,0,35,1,34,1,0,0,1,36,1,6,1,0,0,1,1,0,0.902
sample_1156,17,1,0,0,11,2,11,0,11,0,11,0,1,1,1,0,20,3,12,1,0,0,1,8,1,8,1,0,0,1,1,2,0.947
sample_1157,34,1,0,0,41,1,41,0,41,0,42,0,1,1,1,0,35,1,34,1,0,0,4,36,1,6,1,0,0,1,1,0,0.913
sample_1158,20,1,0,0,10,2,10,0,10,0,10,0,1,1,1,0,11,3,38,1,0,0,1,10,1,9,1,0,0,1,1,0,0.913
