A1,A2,A3,A4,A6,A8,A10,A12,A13,A15,A17,A18,A19,A21,A22,A23,A25,A27,B1,B2,B3,B6,B8,B12,B13,B14,id,A5_o,A7_o,A9_o,A11_o,A14_o,A16_o,A20_per_o,A20_last_o,A24_o,A26_o,A28_per_o,A28_last_o,B4_per_o,B4_last_o,B5_o,B7_o,B9_per_o,B9_last_o,B10_per_o,B10_last_o,B11_per_o,B11_last_o,target
300,,405.0,700,25.0,,100,103.0,0.2,104.0,105.0,0.2,300,40.0,9.0,5.0,70.0,78.0,320.0,3.5,3.5,60,40.0,800.0,0.15,400,sample_1,0,0,81000,82800,82800,82800,72000,84600,0,84600,57600,82800,0,81000,0,79200,73800,81000,84600,81000,0,0,0.9
300,,405.0,700,29.0,,101,103.0,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80.0,73.0,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,sample_100,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,79200,0,81000,0,81000,0,82800,0.902
300,,405.0,700,30.0,,100,101.0,0.2,103.0,105.0,0.2,200,50.0,10.0,5.0,70.0,78.0,290.0,3.5,3.5,65,45.0,800.0,0.15,400,sample_1000,0,0,82800,82800,82800,82800,84600,84600,84600,82800,72000,82800,0,82800,0,79200,81000,81000,0,81000,0,0,0.902
300,,405.0,700,21.0,,100,101.0,0.2,102.0,103.0,0.2,200,50.0,9.0,5.0,70.0,78.0,300.0,3.5,3.5,60,39.0,800.0,0.15,380,sample_1002,0,0,82800,82800,82800,82800,0,84600,0,84600,0,82800,0,81000,0,63000,84600,81000,82800,82800,0,0,
300,,405.0,700,20.0,,100,102.0,0.2,103.0,105.0,0.2,200,50.0,9.0,5.0,70.0,78.0,290.0,3.5,3.5,60,40.0,800.0,0.15,400,sample_1004,0,0,81000,82800,82800,82800,84600,84600,84600,84600,73800,82800,0,82800,0,79200,77400,81000,82800,81000,0,0,0.878
300,,405.0,700,21.0,,100,101.0,0.2,103.0,105.0,0.2,200,40.0,9.0,5.0,70.0,78.0,300.0,3.5,3.5,60,40.0,800.0,0.15,400,sample_1005,0,0,82800,82800,82800,82800,0,84600,0,84600,73800,82800,0,81000,0,79200,77400,81000,84600,81000,0,0,0.902
300,,405.0,700,35.0,,100,101.0,0.2,103.0,105.0,0.2,200,50.0,9.0,5.0,70.0,78.0,280.0,3.5,3.5,60,40.0,800.0,0.15,400,sample_1006,0,0,82800,82800,82800,82800,84600,84600,0,84600,72000,82800,0,81000,0,66600,0,81000,82800,81000,0,0,0.902
300,,405.0,700,35.0,,100,102.0,0.2,103.0,105.0,0.2,200,50.0,10.0,5.0,70.0,70.0,290.0,3.5,3.5,65,45.0,800.0,0.15,400,sample_1007,0,0,82800,82800,82800,82800,84600,84600,84600,84600,70200,82800,0,82800,0,77400,79200,81000,82800,81000,0,0,0.902
300,,405.0,700,21.0,,100,101.0,0.2,103.0,104.0,0.2,200,50.0,9.0,5.0,70.0,78.0,290.0,3.5,3.5,60,40.0,800.0,0.15,400,sample_1008,0,0,81000,82800,82800,82800,84600,84600,84600,84600,77400,82800,84600,81000,0,79200,81000,81000,0,79200,0,0,0.9129999999999999
300,,405.0,700,20.0,,100,101.0,0.2,102.0,105.0,0.2,200,40.0,9.0,5.0,70.0,78.0,290.0,3.5,3.5,60,38.0,800.0,0.15,400,sample_1009,0,0,82800,82800,82800,82800,84600,84600,84600,84600,73800,84600,84600,81000,0,79200,75600,81000,82800,81000,0,0,0.902
300,,405.0,700,29.0,,101,102.0,0.2,103.0,106.0,0.2,200,50.0,9.0,5.0,79.0,72.0,,,,78,45.0,1200.0,0.15,400,sample_101,0,0,79200,82800,82800,82800,0,82800,0,82800,0,82800,0,82800,0,28800,50400,81000,0,81000,0,82800,0.902
300,,405.0,700,35.0,,100,102.0,0.2,103.0,106.0,0.2,200,50.0,10.0,5.0,70.0,70.0,290.0,3.5,3.5,60,40.0,800.0,0.15,400,sample_1010,0,0,82800,82800,82800,82800,84600,84600,0,84600,1800,81000,0,81000,0,68400,82800,82200,81600,81000,0,0,0.9129999999999999
300,,405.0,700,34.0,,100,101.0,0.2,104.0,104.0,0.2,200,50.0,10.0,5.0,70.0,77.0,290.0,3.5,3.5,65,45.0,800.0,0.15,400,sample_1011,0,0,82800,82800,82800,82800,84600,82800,0,84600,72000,82800,0,82800,0,77400,75600,81000,84600,81000,0,0,0.8909999999999999
300,,405.0,700,21.0,,100,102.0,0.2,103.0,105.0,0.2,200,50.0,9.0,5.0,70.0,78.0,290.0,3.5,3.5,60,40.0,800.0,0.15,400,sample_1012,0,0,81000,82800,82800,82800,84600,84600,84600,84600,0,82800,82800,81000,0,75600,75600,81000,82800,81000,0,0,0.902
